nct_id,title,condition,summary,phase,status,search_text
NCT00042991,Gefitinib and Radiation Therapy in Treating Children With Newly Diagnosed Gliomas,"Untreated Childhood Anaplastic Astrocytoma, Untreated Childhood Anaplastic Oligodendroglioma, Untreated Childhood Brain Stem Glioma, Untreated Childhood Giant Cell Glioblastoma, Untreated Childhood Glioblastoma, Untreated Childhood Gliomatosis Cerebri, Untreated Childhood Gliosarcoma, Untreated Childhood Oligodendroglioma",Biological therapies such as gefitinib may interfere with the growth of the tumor cells and may make the tumor cells more sensitive to radiation therapy. This phase I/II trial is studying how well giving gefitinib together with radiation therapy works in treating children with newly diagnosed glioma.,"PHASE1, PHASE2",COMPLETED,"Gefitinib and Radiation Therapy in Treating Children With Newly Diagnosed Gliomas Untreated Childhood Anaplastic Astrocytoma, Untreated Childhood Anaplastic Oligodendroglioma, Untreated Childhood Brain Stem Glioma, Untreated Childhood Giant Cell Glioblastoma, Untreated Childhood Glioblastoma, Untreated Childhood Gliomatosis Cerebri, Untreated Childhood Gliosarcoma, Untreated Childhood Oligodendroglioma Biological therapies such as gefitinib may interfere with the growth of the tumor cells and may make the tumor cells more sensitive to radiation therapy. This phase I/II trial is studying how well giving gefitinib together with radiation therapy works in treating children with newly diagnosed glioma."
NCT07133490,INTERACT Stomach-II,Peritoneal Metastases From Gastric Cancer,"This is a phase II study conducted in three hospitals in the Netherlands (Erasmus MC in Rotterdam, Catharina Hospital in Eindhoven, and the Netherlands Cancer Institute in Amsterdam). A total of 55 patients will take part. The aim is to test whether a new combination treatment is feasible for patients with gastric peritoneal metastases (PM). The treatment includes chemotherapy (intraperitoneal irinotecan and standard systemic therapy such as CAPOX or FOLFOX), and may also include nivolumab or trastuzumab, depending on biomarker results.",PHASE2,RECRUITING,"INTERACT Stomach-II Peritoneal Metastases From Gastric Cancer This is a phase II study conducted in three hospitals in the Netherlands (Erasmus MC in Rotterdam, Catharina Hospital in Eindhoven, and the Netherlands Cancer Institute in Amsterdam). A total of 55 patients will take part. The aim is to test whether a new combination treatment is feasible for patients with gastric peritoneal metastases (PM). The treatment includes chemotherapy (intraperitoneal irinotecan and standard systemic therapy such as CAPOX or FOLFOX), and may also include nivolumab or trastuzumab, depending on biomarker results."
NCT04666090,"Carrelizumab, Chemotherapy and Apatinib in the Neoadjuvant Treatment of Resectable Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma, Neoadjuvant Therapy","China with high incidence of esophageal cancer, the number of new cases and deaths account for about 50% of the world every year. In the past few decades, surgery, radiotherapy, chemotherapy and other treatments were continuously improved, however, the mortality of esophageal squamous cell carcinoma patients was not significantly decreased.

For patients with locally advanced esophageal cancer, direct surgery is not effective. It is difficult to achieve radical resection by surgery merely, and even if many patients receive surgery, they may eventually have tumor recurrence and poor survival rate. Therefore, it is necessary to explore effective perioperative neoadjuvant treatment to reduce the risk of postoperative recurrence and improve the postoperative survival rate of patients.

According to the reports, the expression of PD-L1 in esophageal cancer was about 41.4%. Therefore, PD-1/ PD-L1 immunocheckpoint inhibitor may become a new method for the treatment of esophageal cancer. Preliminary clinical results showed that immunotherapy combined with chemoradiotherapy provided a synergies antitumor effect. Multiple clinical results showed that Carrillizumab provided higher overall response rate for advanced esophageal cancer.

However, in patients with locally advanced esophageal cancer, the efficacy of Carrillizumab combined with chemotherapy and apatinib for sequential radical surgery is still unclear. The purpose of this study is to observe and evaluate the efficacy and safety of Carrillizumab combined with chemotherapy and antiangiogenic drugs in the neoadjuvant therapy of resectable esophageal squamous cell carcinoma.",PHASE2,ACTIVE_NOT_RECRUITING,"Carrelizumab, Chemotherapy and Apatinib in the Neoadjuvant Treatment of Resectable Esophageal Squamous Cell Carcinoma Esophageal Squamous Cell Carcinoma, Neoadjuvant Therapy China with high incidence of esophageal cancer, the number of new cases and deaths account for about 50% of the world every year. In the past few decades, surgery, radiotherapy, chemotherapy and other treatments were continuously improved, however, the mortality of esophageal squamous cell carcinoma patients was not significantly decreased.

For patients with locally advanced esophageal cancer, direct surgery is not effective. It is difficult to achieve radical resection by surgery merely, and even if many patients receive surgery, they may eventually have tumor recurrence and poor survival rate. Therefore, it is necessary to explore effective perioperative neoadjuvant treatment to reduce the risk of postoperative recurrence and improve the postoperative survival rate of patients.

According to the reports, the expression of PD-L1 in esophageal cancer was about 41.4%. Therefore, PD-1/ PD-L1 immunocheckpoint inhibitor may become a new method for the treatment of esophageal cancer. Preliminary clinical results showed that immunotherapy combined with chemoradiotherapy provided a synergies antitumor effect. Multiple clinical results showed that Carrillizumab provided higher overall response rate for advanced esophageal cancer.

However, in patients with locally advanced esophageal cancer, the efficacy of Carrillizumab combined with chemotherapy and apatinib for sequential radical surgery is still unclear. The purpose of this study is to observe and evaluate the efficacy and safety of Carrillizumab combined with chemotherapy and antiangiogenic drugs in the neoadjuvant therapy of resectable esophageal squamous cell carcinoma."
NCT02693990,A Trial of Increased Dose Intensity Modulated Proton Therapy (IMPT) for High-Grade Meningiomas,"Meningioma, Brain Tumor",This research study is studying radiation therapy as a possible treatment for meningioma or tumor on the lining of the brain. The study drug or intervention involved in this research study is Intensity Modulated Proton Therapy (IMPT),NA,ACTIVE_NOT_RECRUITING,"A Trial of Increased Dose Intensity Modulated Proton Therapy (IMPT) for High-Grade Meningiomas Meningioma, Brain Tumor This research study is studying radiation therapy as a possible treatment for meningioma or tumor on the lining of the brain. The study drug or intervention involved in this research study is Intensity Modulated Proton Therapy (IMPT)"
NCT00899860,Gene Expression in Normal Tissue and Tumor Tissue From Patients Who Have Undergone Surgery For Kidney Cancer,Kidney Cancer,"RATIONALE: Studying the genes and proteins expressed in tissue samples from patients with cancer may help doctors identify biomarkers related to cancer.

PURPOSE: This laboratory study is evaluating gene and protein expression in normal tissue and tumor tissue from patients who have undergone surgery for kidney cancer.",,TERMINATED,"Gene Expression in Normal Tissue and Tumor Tissue From Patients Who Have Undergone Surgery For Kidney Cancer Kidney Cancer RATIONALE: Studying the genes and proteins expressed in tissue samples from patients with cancer may help doctors identify biomarkers related to cancer.

PURPOSE: This laboratory study is evaluating gene and protein expression in normal tissue and tumor tissue from patients who have undergone surgery for kidney cancer."
NCT00905060,HSPPC-96 Vaccine With Temozolomide in Patients With Newly Diagnosed GBM,Brain and Central Nervous System Tumors,"This phase II trial studies the side effects and how well HSPPC-96 (vitespen) and temozolomide work in treating patients with newly diagnosed glioblastoma multiforme. Vaccines made from a person's tumor cells and heat shock protein peptide may help the body to build an effective immune response to kill tumor cells. Drugs used in chemotherapy, such as temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving HSPPC-96 (vitespen) together with temozolomide may kill more tumor cells.",PHASE2,COMPLETED,"HSPPC-96 Vaccine With Temozolomide in Patients With Newly Diagnosed GBM Brain and Central Nervous System Tumors This phase II trial studies the side effects and how well HSPPC-96 (vitespen) and temozolomide work in treating patients with newly diagnosed glioblastoma multiforme. Vaccines made from a person's tumor cells and heat shock protein peptide may help the body to build an effective immune response to kill tumor cells. Drugs used in chemotherapy, such as temozolomide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving HSPPC-96 (vitespen) together with temozolomide may kill more tumor cells."
NCT03244020,LMWH vs Aspirin for VTE Prophylaxis in Orthopaedic Oncology,"Sarcoma, Soft Tissue Sarcoma, Bone Sarcoma, Bone Metastases, Venous Thromboembolism, Hematoma, Anticoagulant-induced Bleeding","Aspirin and low molecular weight heparin (LMWH) are both commonly employed pharmacologic methods of venous thromboembolism (VTE) prophylaxis after orthopaedic surgery. Data comparing these two methods of VTE prophylaxis in patients undergoing pelvic/lower extremity orthopaedic surgery for malignancy are lacking, however, as compared to the data and guidelines present for VTE chemoprophylaxis after joint arthroplasty and hip fracture surgery. In this clinical trial, our specific aim is to compare the post operative incidence of VTE between patients receiving aspirin and LMWH after pelvic/lower extremity orthopaedic oncology procedures.",PHASE4,ENROLLING_BY_INVITATION,"LMWH vs Aspirin for VTE Prophylaxis in Orthopaedic Oncology Sarcoma, Soft Tissue Sarcoma, Bone Sarcoma, Bone Metastases, Venous Thromboembolism, Hematoma, Anticoagulant-induced Bleeding Aspirin and low molecular weight heparin (LMWH) are both commonly employed pharmacologic methods of venous thromboembolism (VTE) prophylaxis after orthopaedic surgery. Data comparing these two methods of VTE prophylaxis in patients undergoing pelvic/lower extremity orthopaedic surgery for malignancy are lacking, however, as compared to the data and guidelines present for VTE chemoprophylaxis after joint arthroplasty and hip fracture surgery. In this clinical trial, our specific aim is to compare the post operative incidence of VTE between patients receiving aspirin and LMWH after pelvic/lower extremity orthopaedic oncology procedures."
NCT01545882,A Phase II Study of Degarelix in the Management of Non-Metastatic Hormone-Refractory Prostate Cancer,Prostatic Neoplasms,"This study is being offered to patients who have hormone resistant prostate cancer (HRPC). This means that their prostate cancer is no longer responding to standard hormonal therapy.

The purpose of this study is to determine whether Degarelix will be able to stop the PSA from rising in patients with hormone resistant prostate cancer.",PHASE2,TERMINATED,"A Phase II Study of Degarelix in the Management of Non-Metastatic Hormone-Refractory Prostate Cancer Prostatic Neoplasms This study is being offered to patients who have hormone resistant prostate cancer (HRPC). This means that their prostate cancer is no longer responding to standard hormonal therapy.

The purpose of this study is to determine whether Degarelix will be able to stop the PSA from rising in patients with hormone resistant prostate cancer."
NCT00538824,"Phase II Study of Dexamethasone, Thalidomide and Lenalidomide for Subjects With Relapsed or Refractory Multiple Myeloma",Multiple Myeloma,"Study Objectives

1. To evaluate the efficacy of the combination of dexamethasone (Decadron®), thalidomide (Thalomid®), and lenalidomide (Revlimid®) as therapy for patients with relapsed or refractory multiple myeloma (MM) who have failed prior treatment with both lenalidomide and thalidomide when used as monotherapies.
2. To evaluate the safety of the combination of lenalidomide, dexamethasone, and thalidomide as a therapy for patients with relapsed or refractory multiple myeloma.",PHASE2,TERMINATED,"Phase II Study of Dexamethasone, Thalidomide and Lenalidomide for Subjects With Relapsed or Refractory Multiple Myeloma Multiple Myeloma Study Objectives

1. To evaluate the efficacy of the combination of dexamethasone (Decadron®), thalidomide (Thalomid®), and lenalidomide (Revlimid®) as therapy for patients with relapsed or refractory multiple myeloma (MM) who have failed prior treatment with both lenalidomide and thalidomide when used as monotherapies.
2. To evaluate the safety of the combination of lenalidomide, dexamethasone, and thalidomide as a therapy for patients with relapsed or refractory multiple myeloma."
NCT00749723,Therapy Optimization Trial for the Treatment of Relapsed or Refractory Brain Tumors in Children,"Recurrent Brain Tumors, Supratentorial PNETs, Medulloblastomas, Ependymomas","The purpose of this study is to improve overall survival while maintaining a good quality of life in pediatric patients with refractory or recurrent brain tumors (medulloblastomas, supratentorial PNETs, ependymomas WHO grade II and III). Response to different chemotherapy options (intravenous versus oral chemotherapy, intraventricular chemotherapy) as part of a multimodal therapy will be assessed. Progression-free, overall survival and toxicity will be evaluated additionally.","PHASE2, PHASE3",COMPLETED,"Therapy Optimization Trial for the Treatment of Relapsed or Refractory Brain Tumors in Children Recurrent Brain Tumors, Supratentorial PNETs, Medulloblastomas, Ependymomas The purpose of this study is to improve overall survival while maintaining a good quality of life in pediatric patients with refractory or recurrent brain tumors (medulloblastomas, supratentorial PNETs, ependymomas WHO grade II and III). Response to different chemotherapy options (intravenous versus oral chemotherapy, intraventricular chemotherapy) as part of a multimodal therapy will be assessed. Progression-free, overall survival and toxicity will be evaluated additionally."
NCT04826523,Study of Oral Venetoclax Tablets to Evaluate Adverse Events and Change in Disease Activity in Participants Above 19 Years of Age With Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia (AML),"Acute Myeloid Leukemia (AML) is an aggressive and rare cancer of myeloid cells (a white blood cell responsible for fighting infections). This study will assess how safe and effective oral venetoclax is in participants with AML . Adverse events and change in disease activity will be monitored under routine clinical practice.

Venetoclax is an approved drug for treatment of Acute Myeloid Leukemia (AML). Around 600 participants of age 19 years and above will be enrolled in the study in multiple medical institutions across South Korea.

Participants will receive oral venetoclax tablets as prescribed by their physician in the routine clinical practice. Participants will be observed for 7 cycles ( each cycle is 28 days).

There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at a hospital or clinic. The effect of the treatment will be checked by medical assessments, blood tests, checking for side effects and completing questionnaires.",,COMPLETED,"Study of Oral Venetoclax Tablets to Evaluate Adverse Events and Change in Disease Activity in Participants Above 19 Years of Age With Acute Myeloid Leukemia (AML) Acute Myeloid Leukemia (AML) Acute Myeloid Leukemia (AML) is an aggressive and rare cancer of myeloid cells (a white blood cell responsible for fighting infections). This study will assess how safe and effective oral venetoclax is in participants with AML . Adverse events and change in disease activity will be monitored under routine clinical practice.

Venetoclax is an approved drug for treatment of Acute Myeloid Leukemia (AML). Around 600 participants of age 19 years and above will be enrolled in the study in multiple medical institutions across South Korea.

Participants will receive oral venetoclax tablets as prescribed by their physician in the routine clinical practice. Participants will be observed for 7 cycles ( each cycle is 28 days).

There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at a hospital or clinic. The effect of the treatment will be checked by medical assessments, blood tests, checking for side effects and completing questionnaires."
NCT01291823,Gefitinib Combined With Radiotherapy in Elderly Patients With Esophageal Cancer,Esophageal Cancer,"Elderly patients with esophageal cancer will receive thoracic radiation therapy 54-60Gy over 30 fractions, and concurrent with Gefitinib.",PHASE2,UNKNOWN,"Gefitinib Combined With Radiotherapy in Elderly Patients With Esophageal Cancer Esophageal Cancer Elderly patients with esophageal cancer will receive thoracic radiation therapy 54-60Gy over 30 fractions, and concurrent with Gefitinib."
NCT00001523,Structure and Functional Status of Parotid Glands Exposed to Therapeutic Irradiation,"Radiation Injuries, Xerostomia","Therapeutic irradiation to the head and neck for cancer damages salivary glands present in the radiation field. Despite long recognition of radiation-induced salivary hypofunction, and the associated oral morbidities, the specific damage mechanism(s) is not known and the structure and functional integrity of the surviving parenchymal tissue has not been well-documented. Detailed knowledge of the latter is particularly necessary in order to design appropriate corrective therapies. It is the purpose of this study to provide such a detailed structural and functional assessment of human parotid glands following irradiation. The study will examine 20 patients beginning just prior to therapeutic irradiation and continuing at intervals for 3 years for a total of 5 study visits. Study visits (prior to irradiation and at 4 weeks, 12 weeks, 12 months and 36 months post-irradiation) will include the following procedures: i) detailed oral exam and structured interview; ii) salivary gland functional assessment; iii) sialography of each parotid gland; iv) 99mTcO4 scan of the salivary glands; and v) a magnetic resonance imaging (MRI) scan of the parotid glands. Based on previous single observation studies in humans, and more detailed animal studies, we hypothesize that ionizing radiation will lead to reduced parotid gland function and diminished salivary parenchymal tissue (with a preferential loss in acinar versus ductal cells). Further, we hypothesize that the parenchymal loss will increase with time (replaced by fat and connective tissue) and lead to progressive irreversible salivary dysfunction.",,COMPLETED,"Structure and Functional Status of Parotid Glands Exposed to Therapeutic Irradiation Radiation Injuries, Xerostomia Therapeutic irradiation to the head and neck for cancer damages salivary glands present in the radiation field. Despite long recognition of radiation-induced salivary hypofunction, and the associated oral morbidities, the specific damage mechanism(s) is not known and the structure and functional integrity of the surviving parenchymal tissue has not been well-documented. Detailed knowledge of the latter is particularly necessary in order to design appropriate corrective therapies. It is the purpose of this study to provide such a detailed structural and functional assessment of human parotid glands following irradiation. The study will examine 20 patients beginning just prior to therapeutic irradiation and continuing at intervals for 3 years for a total of 5 study visits. Study visits (prior to irradiation and at 4 weeks, 12 weeks, 12 months and 36 months post-irradiation) will include the following procedures: i) detailed oral exam and structured interview; ii) salivary gland functional assessment; iii) sialography of each parotid gland; iv) 99mTcO4 scan of the salivary glands; and v) a magnetic resonance imaging (MRI) scan of the parotid glands. Based on previous single observation studies in humans, and more detailed animal studies, we hypothesize that ionizing radiation will lead to reduced parotid gland function and diminished salivary parenchymal tissue (with a preferential loss in acinar versus ductal cells). Further, we hypothesize that the parenchymal loss will increase with time (replaced by fat and connective tissue) and lead to progressive irreversible salivary dysfunction."
NCT04767659,Monitoring Response to NAC and Prediction of pCR in Breast Cancer Patients Using Optical Imaging,"Breast Cancer Female, Chemotherapy Effect","Neoadjuvant chemotherapy (NAC) is the first line treatment for locally advanced breast cancer (BC). Besides making breast conserving surgery feasible, its main aim is to achieve a pathological complete response (pCR). Previous studies demonstrated that a pCR correlated with a higher disease-free survival. Tumor response may vary among different BC subtypes and only 30% of BC respond completely to NAC. Treating chemo-resistant disease with NAC may cause patient harm due to drug toxicity and surgery delay.

It is therefore very important to promptly identify those women who will not benefit from NAC.

Mammography and ultrasound proved ineffective in monitoring changes in lesion size due to therapy-induced fibrosis. MRI is the most accurate imaging technique for assessing early clinical response by measuring tumor size, however its accuracy is lower post NAC. This necessitates the need for a new technique able to non invasively assess the effectiveness of NAC. Optical techniques are sensitive to the biological changes that occur within the tumor after NAC administration. These changes occur prior to tumor size reduction.

Optically estimated total hemoglobin concentration correlates with the histological analysis of vasculature as well as with tumor-associated angiogenesis which can affect tumor changes during NAC. Other promising biomarkers related to tissue composition (water, lipid, collagen content) and structure (scattering) may also be evaluated by optical techniques.

The aim of the study is to monitor the effectiveness of NAC in BC patients with a near infrared spectroscopic imaging platform which allows to non-invasively detect changes in vascularization and size of BC and to characterize the presence of temporal changes in regional concentrations of relevant biomarkers (oxy- and deoxyhemoglobin, water, lipid and collagen concentration, scattering) within tissue during NAC.

This optical imaging technique will provide a non-invasive, safe and relatively inexpensive tool to monitor patients' response to NAC and to predict their outcome.",NA,RECRUITING,"Monitoring Response to NAC and Prediction of pCR in Breast Cancer Patients Using Optical Imaging Breast Cancer Female, Chemotherapy Effect Neoadjuvant chemotherapy (NAC) is the first line treatment for locally advanced breast cancer (BC). Besides making breast conserving surgery feasible, its main aim is to achieve a pathological complete response (pCR). Previous studies demonstrated that a pCR correlated with a higher disease-free survival. Tumor response may vary among different BC subtypes and only 30% of BC respond completely to NAC. Treating chemo-resistant disease with NAC may cause patient harm due to drug toxicity and surgery delay.

It is therefore very important to promptly identify those women who will not benefit from NAC.

Mammography and ultrasound proved ineffective in monitoring changes in lesion size due to therapy-induced fibrosis. MRI is the most accurate imaging technique for assessing early clinical response by measuring tumor size, however its accuracy is lower post NAC. This necessitates the need for a new technique able to non invasively assess the effectiveness of NAC. Optical techniques are sensitive to the biological changes that occur within the tumor after NAC administration. These changes occur prior to tumor size reduction.

Optically estimated total hemoglobin concentration correlates with the histological analysis of vasculature as well as with tumor-associated angiogenesis which can affect tumor changes during NAC. Other promising biomarkers related to tissue composition (water, lipid, collagen content) and structure (scattering) may also be evaluated by optical techniques.

The aim of the study is to monitor the effectiveness of NAC in BC patients with a near infrared spectroscopic imaging platform which allows to non-invasively detect changes in vascularization and size of BC and to characterize the presence of temporal changes in regional concentrations of relevant biomarkers (oxy- and deoxyhemoglobin, water, lipid and collagen concentration, scattering) within tissue during NAC.

This optical imaging technique will provide a non-invasive, safe and relatively inexpensive tool to monitor patients' response to NAC and to predict their outcome."
NCT01231659,Safety and Efficacy of RAD001 (Everolimus) in Combination With Letrozole in the Treatment of Postmenopausal Women With Locally Advanced or Metastatic Breast Cancer,"Postmenopausal Women, Locally Advanced Metastatic Breast Cancer, Metastatic Breast Cancer","This was a multi-center, Israeli phase II open label study evaluating treatment with RAD001 (10 mg daily) combined with letrozole (2.5 mg daily) in postmenopausal women after recurrence or progression on Tamoxifen, Anastrozole or Examestane.

There were no treatments specifically approved after recurrence or progression on AIs. Available options, based on common clinical practice and several treatment guidelines (e.g. NCCN treatment guidelines 2008), included fulvestrant.

Combining RAD001 with letrazole was a rational approach to the treatment of advanced Brest Cancer, offering the potential for inhibition of tumor cell growth\\ proliferation and anti angiogenesis while at the same time potentially preventing the development of letrazole resistance.",PHASE2,COMPLETED,"Safety and Efficacy of RAD001 (Everolimus) in Combination With Letrozole in the Treatment of Postmenopausal Women With Locally Advanced or Metastatic Breast Cancer Postmenopausal Women, Locally Advanced Metastatic Breast Cancer, Metastatic Breast Cancer This was a multi-center, Israeli phase II open label study evaluating treatment with RAD001 (10 mg daily) combined with letrozole (2.5 mg daily) in postmenopausal women after recurrence or progression on Tamoxifen, Anastrozole or Examestane.

There were no treatments specifically approved after recurrence or progression on AIs. Available options, based on common clinical practice and several treatment guidelines (e.g. NCCN treatment guidelines 2008), included fulvestrant.

Combining RAD001 with letrazole was a rational approach to the treatment of advanced Brest Cancer, offering the potential for inhibition of tumor cell growth\\ proliferation and anti angiogenesis while at the same time potentially preventing the development of letrazole resistance."
NCT06261879,Non-invasive Biomarker Discovery for Pre-cervical or/and Cervical Cancer--ACTN4 and Other Biomarkers in Menstrual Blood,"Cervical Cancer, CIN","The goal of this clinical trial is

1. To test the sensitivity and specificity of using ACTN4 from menstrual blood for the detection of pre-cervical or/and cervical cancer.
2. If ACTN4 is not a promising biomarker, other biomarkers will be explored.
3. To develop an effective and non-invasive detection method for pre-cervical or/and cervical cancer.

in Women with menstruation.

The main question it aims to answer is:

To validate whether menstrual blood could be used as a non-invasive means for the detection of pre-cervical or cervical cancer

Participants will

1. Join the briefing session of the study
2. Sign the consent form and health questionnaire
3. Submit the cervical medical report(s) within 3 months or perform sponsored pap smear test
4. Collect the menstrual blood sample

If there is a comparison group: Researchers will compare The diseased group and the healthy group according to the medical reports they provided to see if ACTN4 from menstrual blood is a promising biomarker for the detection of pre-cervical or cervical cancer",NA,UNKNOWN,"Non-invasive Biomarker Discovery for Pre-cervical or/and Cervical Cancer--ACTN4 and Other Biomarkers in Menstrual Blood Cervical Cancer, CIN The goal of this clinical trial is

1. To test the sensitivity and specificity of using ACTN4 from menstrual blood for the detection of pre-cervical or/and cervical cancer.
2. If ACTN4 is not a promising biomarker, other biomarkers will be explored.
3. To develop an effective and non-invasive detection method for pre-cervical or/and cervical cancer.

in Women with menstruation.

The main question it aims to answer is:

To validate whether menstrual blood could be used as a non-invasive means for the detection of pre-cervical or cervical cancer

Participants will

1. Join the briefing session of the study
2. Sign the consent form and health questionnaire
3. Submit the cervical medical report(s) within 3 months or perform sponsored pap smear test
4. Collect the menstrual blood sample

If there is a comparison group: Researchers will compare The diseased group and the healthy group according to the medical reports they provided to see if ACTN4 from menstrual blood is a promising biomarker for the detection of pre-cervical or cervical cancer"
NCT00267696,"Study of Gemcitabine/Carboplatin/Bevacizumab to Treat Ovarian, Fallopian Tube or Primary Peritoneal Cancer","Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer","The purpose of this study is to test the effectiveness, safety and tolerability of the drug combination: gemcitabine, carboplatin and bevacizumab in patients that have been diagnosed with platinum sensitive recurrent ovarian cancer, fallopian tube or primary peritoneal cancer.",PHASE2,COMPLETED,"Study of Gemcitabine/Carboplatin/Bevacizumab to Treat Ovarian, Fallopian Tube or Primary Peritoneal Cancer Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer The purpose of this study is to test the effectiveness, safety and tolerability of the drug combination: gemcitabine, carboplatin and bevacizumab in patients that have been diagnosed with platinum sensitive recurrent ovarian cancer, fallopian tube or primary peritoneal cancer."
NCT02252146,Dose Escalation Study in Patients With Relapsed or Refractory DLBCL and MyD88 L265P Mutation,Diffuse Large B Cell Lymphoma,"Recent reports have identified a specific oncogenic mutation L265P of the MYD88 gene in approximately 30% of the patients with the activated B-cell (ABC) type of Diffuse Large B Cell Lymphoma (DLBCL). MYD88 is an initial adapter linker protein in the signaling pathway of the Toll Like Receptors (TLRs), including the endosomal TLRs 7, 8, and 9, for which the ligands are nucleic acids. IMO-8400 is an oligonucleotide specifically designed to inhibit ligand activation of TLRs 7,8, and 9. Recent studies indicate that in the presence of L265P mutation ligand activation of those TLRs results in markedly increased signaling with subsequent increased cell activation, cell survival, and cell proliferation. The scientific rationale for assessing the use of IMO-8400 to treat patients with DLBCL and the L265P mutation is based on laboratory observations that IMO-8400 inhibits ligand-based activation of cells with the mutation and decreases the survival and proliferation of the cell populations responsible for the propagation of the disease.","PHASE1, PHASE2",COMPLETED,"Dose Escalation Study in Patients With Relapsed or Refractory DLBCL and MyD88 L265P Mutation Diffuse Large B Cell Lymphoma Recent reports have identified a specific oncogenic mutation L265P of the MYD88 gene in approximately 30% of the patients with the activated B-cell (ABC) type of Diffuse Large B Cell Lymphoma (DLBCL). MYD88 is an initial adapter linker protein in the signaling pathway of the Toll Like Receptors (TLRs), including the endosomal TLRs 7, 8, and 9, for which the ligands are nucleic acids. IMO-8400 is an oligonucleotide specifically designed to inhibit ligand activation of TLRs 7,8, and 9. Recent studies indicate that in the presence of L265P mutation ligand activation of those TLRs results in markedly increased signaling with subsequent increased cell activation, cell survival, and cell proliferation. The scientific rationale for assessing the use of IMO-8400 to treat patients with DLBCL and the L265P mutation is based on laboratory observations that IMO-8400 inhibits ligand-based activation of cells with the mutation and decreases the survival and proliferation of the cell populations responsible for the propagation of the disease."
NCT04974346,Para-aortic Prophylactic Irradiation for Locally Advanced Cervical Cancer,Cervical Cancer,"Para-aortic lymph node metastasis is a poor prognostic factor for locally advanced cervical cancer, but false negative diagnosis is easy to occur. The aim of this trial was to investigate whether para-aortic prophylactic radiotherapy improves disease-free survival in patients with positive pelvic lymph nodes below the common iliac artery.",PHASE3,RECRUITING,"Para-aortic Prophylactic Irradiation for Locally Advanced Cervical Cancer Cervical Cancer Para-aortic lymph node metastasis is a poor prognostic factor for locally advanced cervical cancer, but false negative diagnosis is easy to occur. The aim of this trial was to investigate whether para-aortic prophylactic radiotherapy improves disease-free survival in patients with positive pelvic lymph nodes below the common iliac artery."
NCT06385288,Blood and Tissue Extraction for Immunological Examinations During Neoadjuvant Therapy of Soft Tissue Sarcomas,Soft Tissue Sarcoma Adult,"""Blood and Tissue Extraction for Immunological Examinations During Neoadjuvant Therapy of Soft Tissue Sarcoma"" is a prospective study with additional translational research using preoperative and postoperative tissue, blood sampling and advanced imaging.",NA,RECRUITING,"Blood and Tissue Extraction for Immunological Examinations During Neoadjuvant Therapy of Soft Tissue Sarcomas Soft Tissue Sarcoma Adult ""Blood and Tissue Extraction for Immunological Examinations During Neoadjuvant Therapy of Soft Tissue Sarcoma"" is a prospective study with additional translational research using preoperative and postoperative tissue, blood sampling and advanced imaging."
NCT00538603,"Multi-national, Randomized, Phase III, GCIG Intergroup Study Comparing Pegylated Liposomal Doxorubicin (CAELYX) and Carboplatin vs. Paclitaxel and Carboplatin in Patients With Epithelial Ovarian Cancer in Late Relapse. (CALYPSO)",Epithelial Ovarian Cancer,"Multi-national, randomized, phase III, GCIG Intergroup study comparing pegylated liposomal Doxorubicin (CAELYX) and Carboplatin vs. Paclitaxel and Carboplatin in patients with epithelial ovarian cancer in late relapse. (CALYPSO)",NA,COMPLETED,"Multi-national, Randomized, Phase III, GCIG Intergroup Study Comparing Pegylated Liposomal Doxorubicin (CAELYX) and Carboplatin vs. Paclitaxel and Carboplatin in Patients With Epithelial Ovarian Cancer in Late Relapse. (CALYPSO) Epithelial Ovarian Cancer Multi-national, randomized, phase III, GCIG Intergroup study comparing pegylated liposomal Doxorubicin (CAELYX) and Carboplatin vs. Paclitaxel and Carboplatin in patients with epithelial ovarian cancer in late relapse. (CALYPSO)"
NCT07130903,Amplitude-Modulated Radiofrequency Electromagnetic Fields (AM RF EMF) in Combination With Fruquintinib in Refractory Metastatic Colorectal Cancer,Metastatic Colorectal Adenocarcinoma,"The goal of this clinical trial is to learn if adding amplitude-modulated radiofrequency electromagnetic fields (AM RF EMF) to Fruquintinib in metastatic colorectal cancer that has not responded to other standard treatment is:

* Effective in improving survival
* safe and tolerable",PHASE2,RECRUITING,"Amplitude-Modulated Radiofrequency Electromagnetic Fields (AM RF EMF) in Combination With Fruquintinib in Refractory Metastatic Colorectal Cancer Metastatic Colorectal Adenocarcinoma The goal of this clinical trial is to learn if adding amplitude-modulated radiofrequency electromagnetic fields (AM RF EMF) to Fruquintinib in metastatic colorectal cancer that has not responded to other standard treatment is:

* Effective in improving survival
* safe and tolerable"
